"","Champion","Top4","Winner","AvgPlacement","PickTimes"
"1","Yone",0.495,0.126,4.532,2176
"2","Orianna",0.547,0.135,4.266,2772
"3","Janna",0.557,0.146,4.19,3767
"4","Fiora",0.51,0.128,4.464,1933
"5","Jayce",0.632,0.194,3.77,2326
"6","Galio",0.611,0.18,3.951,687
"7","Vi",0.548,0.144,4.249,1881
"8","Zac",0.519,0.12,4.426,2117
"9","DrMundo",0.538,0.136,4.316,2896
"10","Urgot",0.536,0.133,4.311,1904
"11","Yuumi",0.658,0.196,3.651,3334
"12","Jinx",0.613,0.178,3.868,1873
"13","TahmKench",0.621,0.206,3.771,1666
"14","Swain",0.48,0.105,4.522,735
"15","Vex",0.46,0.109,4.691,1151
"16","Malzahar",0.509,0.131,4.427,1280
"17","Braum",0.506,0.111,4.485,2524
"18","Lux",0.532,0.128,4.333,1873
"19","Singed",0.423,0.105,4.85,638
"20","Ezreal",0.427,0.114,4.85,386
"21","Katarina",0.469,0.113,4.668,838
"22","Seraphine",0.534,0.134,4.348,1919
"23","Akali",0.571,0.129,4.156,629
"24","Graves",0.504,0.145,4.441,685
"25","KogMaw",0.474,0.119,4.659,1151
"26","Lissandra",0.506,0.121,4.412,1005
"27","Viktor",0.638,0.177,3.76,1592
"28","Caitlyn",0.502,0.13,4.473,554
"29","Kassadin",0.443,0.104,4.808,594
"30","Garen",0.468,0.127,4.636,726
"31","Camille",0.449,0.129,4.701,737
"32","Zilean",0.459,0.129,4.685,699
"33","Jhin",0.554,0.148,4.23,1024
"34","TrainingDummy",0.535,0.142,4.25,869
"35","Talon",0.446,0.072,4.761,543
"36","Poppy",0.367,0.075,5.269,509
"37","Ziggs",0.409,0.097,4.937,700
"38","Tristana",0.421,0.094,4.956,520
"39","Lulu",0.417,0.091,4.944,678
"40","ChoGath",0.478,0.128,4.714,674
"41","Kaisa",0.616,0.178,3.928,1616
"42","Illaoi",0.347,0.107,5.267,596
"43","Gangplank",0.425,0.139,4.88,784
"44","MissFortune",0.454,0.131,4.728,780
"45","Trundle",0.465,0.109,4.744,488
"46","Warwick",0.431,0.094,4.856,720
"47","Quinn",0.379,0.132,5.09,692
"48","Samira",0.455,0.108,4.721,594
"49","Taric",0.512,0.123,4.465,2463
"50","Sion",0.42,0.079,4.862,369
"51","Leona",0.472,0.108,4.645,2360
"52","Zyra",0.474,0.11,4.557,652
"53","Heimerdinger",0.435,0.108,4.825,1015
"54","Twitch",0.44,0.056,4.931,248
"55","Blitzcrank",0.469,0.112,4.647,849
"56","Darius",0.436,0.097,4.783,628
"57","Shaco",0.477,0.098,4.6,732
"58","TwistedFate",0.435,0.094,4.748,540
"59","Ekko",0.523,0.111,4.355,623
"60","Veigar",0.78,0.19,3.1,100
