"","TraitsComb","Top4","Winner","AvgPlacement","PickTimes"
"1","Transformer",0.253,0.025,5.696,79
"2","Bruiser,Cuddly,Glutton,Sister,Transformer",0.922,0.314,2.373,51
"3","Arcanist,Cuddly",0.662,0.166,3.593,145
"4","Socialite",0.217,0.024,6.133,83
"5","Chemtech,Twinshot",0.462,0.154,4.231,13
"6","Clockwork,Cuddly,Transformer",0.75,0.25,3.875,8
"7","Academy,Cuddly,Imperial",1,0.5,3,4
"8","Bruiser,Cuddly,Glutton",0.528,0.111,4.333,36
"9","Cuddly",0.5,0.082,4.673,110
"10","Arcanist",0.297,0.043,5.442,138
"11","Bruiser,Sister,Socialite",1,0.4,6.4,5
"12","Bruiser,Glutton",0.455,0.078,4.909,77
"13","Chemtech",0.456,0.074,4.755,204
"14","Imperial",0.269,0.038,6.269,26
"15","Bruiser,Glutton,Mutant",0.711,0.222,3.4,45
"16","Cuddly,Glutton,Transformer",0.689,0.356,3.311,45
"17","Arcanist,Cuddly,Scholar",0.81,0.381,2.524,21
"18","Arcanist,Cuddly,Enchanter",0.667,0.121,3.606,33
"19","Glutton,Transformer",0.5,0.107,4.393,28
"20","Academy,Challenger,Cuddly,Transformer",0.795,0.341,2.773,44
"21","Enchanter",0.31,0.017,5.741,58
"22","Enchanter,Innovator,Socialite,Transformer",0.763,0.237,3.206,97
"23","Challenger,Socialite",0.37,0.074,5.407,27
"24","Chemtech,Sister",0.5,0.15,4.65,20
"25","Arcanist,Yordle",0.593,0.074,6.222,27
"26","Cuddly,Mutant,Transformer",0.875,0.375,3.75,8
"27","Arcanist,Enchanter",0.696,0.087,4.652,46
"28","Cuddly,Enchanter,Socialite",0.66,0.12,3.72,50
"29","Academy,Enchanter",0.444,0.111,5.333,9
"30","Colossus,Mutant,Socialite",0.533,0.067,4.333,15
"31","Bruiser,Cuddly,Glutton,Transformer",0.824,0.235,3.059,17
"32","Cuddly,Glutton,Sister,Socialite",1,0.333,2,3
"33","Enchanter,Socialite",0.333,0.053,5.36,75
"34","Mercenary",1,0.071,7.286,14
"35","Clockwork,Innovator,Transformer",0.875,0.125,3.625,8
"36","Bruiser,Sister,Twinshot",0.353,0.059,5.235,17
"37","Bruiser,Sister,Transformer,Twinshot",1,0.333,3,3
"38","Bodyguard,Cuddly,Syndicate",1,0.25,3.5,4
"39","Challenger,Transformer",0.508,0.169,4.369,65
"40","Academy,Arcanist,Cuddly",0.625,0.156,4.094,32
"41","Sniper,Transformer",0.611,0.333,3.667,18
"42","Glutton,Sister,Twinshot",1,1,5,3
"43","Colossus,Imperial,Socialite",0.519,0.093,4.611,54
"44","Academy,Arcanist",0.375,0.062,5.812,16
"45","Academy,Challenger,Transformer",0.7,0.4,4.6,10
"46","Academy,Cuddly,Socialite,Transformer",0.75,0.25,3.188,16
"47","Cuddly,Transformer",0.583,0.078,4.019,103
"48","Bruiser,Glutton,Sister,Transformer",0.73,0.216,3.216,37
"49","Academy,Challenger,Cuddly",0.711,0.281,3.372,121
"50","Mutant",0.336,0.061,5.496,131
"51","Cuddly,Glutton,Socialite",0.615,0.231,4.846,13
"52","Glutton,Socialite,Transformer",0.625,0.125,3.75,8
"53","Yordle",0.126,0.006,6.523,174
"54","Bruiser,Chemtech,Mutant",1,0.25,2.5,4
"55","Challenger,Cuddly,Enchanter",0.667,0.067,3.933,15
"56","Challenger,Cuddly,Enchanter,Socialite",0.7,0.1,3.5,10
"57","Bruiser,Chemtech,Cuddly,Glutton",1,0.3,2.9,10
"58","Cuddly,Syndicate",0.513,0.154,4.564,39
"59","Glutton",0.4,0.067,5.733,30
"60","Bruiser,Chemtech,Sister",0.409,0.045,5.136,22
"61","Cuddly,Enchanter,Socialite,Transformer",0.808,0.288,2.769,52
"62","Cuddly,Socialite,Transformer",0.771,0.2,3.229,35
"63","Sister,Socialite",1,0.25,6,4
"64","Arcanist,Cuddly,Enchanter,Socialite",0.818,0.182,3.273,11
"65","Academy,Cuddly",0.557,0.163,4.124,282
"66","Chemtech,Sister,Transformer",0.818,0.182,4.364,11
"67","Sniper",0.349,0.047,5.488,43
"68","Enchanter,Innovator,Socialite",0.545,0.091,5.727,22
"69","Academy,Cuddly,Transformer",0.754,0.211,3.211,114
"70","Protector",0.362,0.05,5.287,80
"71","Bodyguard",0.52,0.16,5.84,25
"72","Arcanist,Syndicate",0.9,0.1,3.6,10
"73","Glutton,Mercenary,Socialite",1,0.4,4.4,5
"74","Challenger,Cuddly,Transformer",0.677,0.277,3.431,65
"75","Arcanist,Cuddly,Transformer",0.826,0.391,3.174,23
"76","Syndicate",0.315,0.056,5.241,54
"77","Bruiser",0.261,0.058,6.42,69
"78","Mutant,Sister",1,0.25,3.75,4
"79","Bodyguard,Enchanter",0.75,0.25,4.333,12
"80","Chemtech,Socialite",0.55,0.15,5.15,20
"81","Bruiser,Chemtech",0.484,0.097,5.452,31
"82","Challenger,Imperial",0.55,0.025,5.175,40
"83","Challenger,Cuddly,Socialite,Transformer",1,0.429,2.286,7
"84","Arcanist,Glutton",0.385,0.154,5.385,13
"85","Academy,Challenger",0.419,0.023,5.651,43
"86","Challenger",0.327,0.062,5.463,162
"87","Assassin,Syndicate",0.441,0.097,4.682,195
"88","Socialite,Transformer",0.52,0.04,5.4,25
"89","Cuddly,Enchanter",0.532,0.021,4.574,47
"90","Bruiser,Chemtech,Cuddly",0.889,0.333,4.333,9
"91","Bruiser,Transformer",0.6,0.133,5.267,15
"92","Cuddly,Mutant",0.688,0.125,3.75,16
"93","Challenger,Cuddly",0.437,0.113,4.662,71
"94","Innovator",0.158,0.026,6.526,38
"95","Academy,Transformer",0.297,0.054,5.568,37
