"","Traits","Top4","Winner","AvgPlacement","PickTimes"
"1","Academy",0.532,0.139,4.321,5718
"2","Bodyguard",0.486,0.117,4.585,4646
"3","Challenger",0.491,0.128,4.545,4088
"4","Clockwork",0.515,0.13,4.42,3508
"5","Colossus",0.515,0.132,4.478,1442
"6","Enchanter",0.511,0.129,4.443,5338
"7","Enforcer",0.541,0.147,4.274,4828
"8","Innovator",0.53,0.143,4.33,4282
"9","Mercenary",0.529,0.164,4.306,2837
"10","Scholar",0.539,0.139,4.282,6312
"11","Scrap",0.526,0.133,4.351,6402
"12","Socialite",0.518,0.128,4.425,4138
"13","Transformer",0.631,0.194,3.77,2325
"14","Bruiser",0.506,0.133,4.463,4180
"15","Chemtech",0.524,0.137,4.373,4877
"16","Cuddly",0.658,0.196,3.651,3334
"17","Glutton",0.621,0.207,3.768,1665
"18","Mutant",0.53,0.137,4.338,4804
"19","Sister",0.554,0.149,4.191,2584
"20","Twinshot",0.513,0.138,4.418,3675
"21","Arcanist",0.509,0.128,4.446,4299
"22","Imperial",0.462,0.101,4.655,1651
"23","Syndicate",0.495,0.108,4.529,3068
"24","Yordle",0.474,0.113,4.632,2106
"25","Assassin",0.469,0.104,4.659,1730
"26","Sniper",0.461,0.117,4.725,2687
"27","Protector",0.444,0.107,4.775,1726
"28","YordleLord",0.78,0.19,3.1,100
